image_file,category,signal_source,reason,caption_or_ocr_excerpt
467313553_8753793004676379_990181434795277817_n.jpg,01_cricket_matches_and_action,ocr,Manual visual override after contact-sheet review.,"e * 5 : . ; r "" a r My : i) ™S * ; : ; » » fa td + =~ _ ey a ; ~~ f - . ie a t é . a os. } oe ~ fi e ‘ Va 4 2 = 7 Was La fy’ ‘i .  eeeeneeeen eae y LS e . * — oe, py TANWN os ay ; - — . : . “ ~ Al on : os *% a ax Ps - <"
467421597_8753793008009712_3791763158039657522_n.jpg,01_cricket_matches_and_action,ocr,Manual visual override after contact-sheet review.,"a e — 5 . .»* . “ten e F; ‘  . . >» . , . 7% oi * 7 ee ox i » : Y Tt ot. “ ‘ 3 - - 7. P J + a 5 + ' : : ’ . = - . —S ie » “7 f , ri ; a "" — ~ ~ : St ; i ba ‘ b z - . : . ; es > A . , . » 4 > v i “a : - / ry ; ; os a bal"
468862656_8827553797300299_5833584380259144493_n.jpg,03_cricket_team_and_tournament_announcements,ocr,Manual visual override after contact-sheet review.,"S| i ee ae iste 2. _— - fl Bee Sf hese EPRCE: 6 Te tS 4 Sey =o =] An eo) ~~ * =o WN aes at in pe on 2S =m ae =, SS ae: SS ox} —— Cy SS ee ee oo | | | | | \\"
471367702_901932398724417_1074607145997244501_n.jpg,03_cricket_team_and_tournament_announcements,ocr,Manual visual override after contact-sheet review.,"acon Some fgg SOOM Ge” a) he toomnna|f ” Gane a z a, a 4 ee a ee"
471476843_901932558724401_6779337976497656975_n.jpg,03_cricket_team_and_tournament_announcements,ocr,Manual visual override after contact-sheet review.,",cket an KS Yo Os & < <, & eo oO S NUE y » © 9, Manito®®’"
480626494_943415807909409_8770441642286219579_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Tough Loss in MCA League Division 2 Second Match 🏏  A forgettable loss for us, but we rise stronger from the ashes. Kudos to Ishara Lekamge for hanging in till the end with a fighting spirit. We’ll come back stronger!"
480657578_943425667908423_343089694424380549_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Great practice game against the Winnipeg Wolves! Bloomfield A team came out on top, thanks to the outstanding all-round performance by our captain Madhuranga, and the stellar batting from the man in form, Chinthaka Wij"
480660445_944336827817307_5049691759348682682_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Match Summary: MCA Recreational T20 League - Match 12 🎉   Another thrilling game for the Bloomfield All Stars! Ruban continues his stellar form, smashing his third consecutive 40+ score, including a brilliant half-centur"
480682356_944037987847191_8777911313791259152_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Match Summary: MCA Premier Division Match 7 🏏  The Bloomfield team continues to dominate with their 7th consecutive win, securing the top spot on the table! 🎉  🔝 Big shoutout to our senior batsmen Hirusha, John, and Pu"
480692932_944321377818852_8014009040353205370_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🏏 Match Summary: MCA Recreational T20 League 🏏  Bloomfield Knights triumphed over Bloomfield All Stars with a dominant win by 113 runs! 🌟  Our openers, Ralston and Shehan, set a solid foundation with a quick start, follo"
480740927_943248997926090_693085015159153107_n.jpg,03_cricket_team_and_tournament_announcements,ocr,Manual visual override after contact-sheet review.,"Park 2 :  BLOOMFIELD A BLOOMFIELD B er ang mr | é 4, /, ; :2  \ Na Sy =  <2, Manitod?*, ) =  S  al  =  a> aa"
480748199_944024711181852_6415686805216044729_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 What a thrilling match in the MCA Recreational T20 League! Bloomfield Knights clinched victory in Match 4, thanks to Shan Jayamaha's spectacular bowling spell and Madhuranga Sampath Bandara's unbeaten half-century. Wel"
480774954_943409011243422_2941930137741946762_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,oF A oven nar ad i wl ~ t=)” MENDIS YR  Bloomrieto ce FS | paaa (2) \ — RIGHT-HAND BAT BLY 5 | | = é 0) a y s ped Division um @
480776543_943418417909148_8083086857739102294_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,Nilesh Narendran hung in there till the end with some classy batting and even snagged a wicket with his off-spin! Incredible all-round performance! 🌟👏
480777277_944332407817749_1212799048177443719_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,🌟 Star Performance Alert! 🌟  Hirusha Weerasekara shines again with an all-round display—contributing a solid 20 runs with the bat and weaving his left-arm spin magic to grab two crucial wickets. Fought hard till the end!
480851517_944034974514159_529557773111765488_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,A commendable fight by Bloomfield All Stars with an unbeaten last wicket partnership between Buddhika Abeyrathna and Ayesh Muthukumarana. Captain Anuradha led the bowling attack with a formidable opening spell. Despite o
480858497_944037997847190_1440603214409948190_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🔥 Stellar performance by Hirusha Weerasekara! 🔥 For the 3rd time this season, he has led the charge with an impressive 65 runs at the top of the batting lineup and made a mark with 2 crucial wickets for just 28 runs. 🏆 H"
480860608_944025804515076_8280000835725830561_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Bloomfield Triumphs Again! 🌟  In our 4th league game, we secured our 4th consecutive win! 🎉 An outstanding opening bowling spell from Prageeth Wasala and a blazing start with the bat by John Mendis paved the way to vic"
480864320_944339447817045_8312227241655129903_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Match 11 Summary: A Tough Day for Bloomfield Knights in Division 2   It was a challenging day for our batters, but Nilesh’s unbeaten half-century provided much-needed resistance, with Thilina Hettiarachchi’s quick inni"
480871564_943407694576887_7009557157767524386_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,PROVITICiAQ LEAGUE LABARRIERE PARK 2 (WPG) | 3:15 PM 2024 LIONS 2 LABARRIERE PARK 2 (WPG) | 3:15 PM | WINNIPEG RAIDERS LABARRIERE PARK 3 (WPG) | 3:15 PM i Pot uttins ES | AICC LABARRIERE PARK 3 (WPG) | 3:15 PM rd “ZN | S
480874521_943422894575367_885128594285841804_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,🌟 Stellar performance alert! 🌟 Hirusha Weerasekara shines bright with an outstanding display of skill with both bat and ball in today's match. Truly a standout performer! 🏏🔥
480898497_944028231181500_2487006171105042983_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,🌟 🏏Victory for Bloomfield Knights against Taverners in the MCA Recreational T20 League! Quick knocks by Thulasi Ram and Chinthaka Wijayasinghe set the stage. Chalinda Fernando's all-round brilliance earned him the Man of
480900972_943422901242033_4165400693142509111_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏🔥 Chinthaka Wijayasinghe dazzles with a brilliant T20 century in our practice game against the Lions! Way to go, Chinthaka! 💯👏 Despite the loss, it was a thrilling game! . . . . #MCALeague2024 #PracticeMatches"
480907650_943409007910089_1815562503110333767_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,"- ~a . ee. + PLAYER PROFILE » | , | $"
480910066_944035701180753_1996868946153738929_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🌟 Star Performer of the Match: Hirusha Weerasekara! 🌟  Hirusha delivered a stellar performance with the bat, scoring a valuable 28 runs, and showcased his magical left-arm spin by taking 3 wickets for just 33 runs. His e"
480928854_943409084576748_8949243557925792085_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,"4 PLAYER PROFILE . ese PUBUDU > “* a oe = ""PERERA of % (xv BLOOMFIELD CC ¥ \ \ »"
480928854_943409354576721_6616617749313184625_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,"> > vuven erOFtlt *, oe ekey )  DEVEEN =), FERNANDO eel . 7 INS BLOOMFIELD KNIGHTS VW "" a De LEFT-HAND BAT"
480938562_943425647908425_1705954996783260774_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Tough luck for Bloomfield All-Stars in their 3rd match of the MCA Recreational T20 league. Despite a valiant effort, we fell short. However, a big shoutout to Ayesh Piyumi for his stellar all-round performance, scoring"
480948517_944025781181745_3389725196711746401_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Tough Day for Bloomfield Knights in MCA Division 2 League 2024 🌟  Despite a stellar all-round performance by Shiromal Gunawardane, the match slipped away from the Knights. Another challenging outing, but we’ll come bac"
480970932_945963810987942_6265508101014271238_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Most Valuable Player of the Year 2024 - Bloomfield CC - Hirusha Weerasekara  #MCAPremierDivisionLeague2024
